Name,Value,Byte Offset,Type
fp_c9_data,,0,float4[4096]
fp_c9_data[0],"0.00, 0.00, 0.00, 0.00",0,float4
fp_c9_data[1],"1.80569E+28, 6.97718E+22, 4.17517E-41, 0.00",16,float4
fp_c9_data[2],"0.00, 0.00, 0.00, 0.00",32,float4
fp_c9_data[3],"0.00, 0.00, 0.00, 0.00",48,float4
fp_c9_data[4],"0.00, 0.00, 0.00, 0.00",64,float4
fp_c9_data[5],"3.46945E-17, 7.17465E-43, 0.00, 0.00",80,float4
fp_c9_data[6],"0.00, 5.60519E-45, 4.20390E-45, 2.80260E-45",96,float4
fp_c9_data[7],"7.00649E-45, 5.60519E-45, 0.00, 0.00",112,float4
fp_c9_data[8],"0.00, 0.00, 5.00, 0.00",128,float4
fp_c9_data[9],"150.00, 0.00, 0.00, 1.00",144,float4
fp_c9_data[10],"0.00, 0.00, 0.00, 0.00",160,float4
fp_c9_data[11],"0.00, -1.00, 0.00, 0.00",176,float4
fp_c9_data[12],"0.00, 0.00, 0.00, 0.00",192,float4
fp_c9_data[13],"0.00, 1.00, 0.50, 0.00",208,float4
fp_c9_data[14],"0.90, 0.00, 3.00, 20.00",224,float4
fp_c9_data[15],"1.00, 0.00, 0.00, 0.00",240,float4
fp_c9_data[16],"0.05, 0.05, 0.00, 0.00",256,float4
fp_c9_data[17],"2.00, 1.00, 1.00, 0.00",272,float4
fp_c9_data[18],"0.00, 0.00, 0.00, 0.00",288,float4
fp_c9_data[19],"0.00, 0.00, 0.00, 0.00",304,float4
fp_c9_data[20],"0.00, 0.00, 0.00, 0.00",320,float4
fp_c9_data[21],"0.00, 0.00, 0.00, 0.00",336,float4
fp_c9_data[22],"0.00, 0.00, 0.00, 0.00",352,float4
fp_c9_data[23],"0.00, 0.00, 0.00, 0.00",368,float4
fp_c9_data[24],"0.00, 0.00, 0.00, 0.00",384,float4
fp_c9_data[25],"0.00, 0.00, 0.00, 0.00",400,float4
fp_c9_data[26],"15.00, 1.00, 1.00, 0.00",416,float4
fp_c9_data[27],"1.40130E-45, 2.80260E-45, 2.80260E-45, 1.40130E-45",432,float4
fp_c9_data[28],"1.40130E-45, 0.00, 0.00, 0.00",448,float4
fp_c9_data[29],"0.00, 0.00, 0.00, 0.00",464,float4
fp_c9_data[30],"0.00, 0.00, 0.00, 0.00",480,float4
fp_c9_data[31],"0.00, 0.00, 0.00, 0.00",496,float4
fp_c9_data[32],"0.00, 0.00, 0.00, 0.00",512,float4
fp_c9_data[33],"0.00, 0.00, 0.00, 0.00",528,float4
fp_c9_data[34],"0.00, 0.00, 0.00, 0.00",544,float4
fp_c9_data[35],"2.00, 1.00, 1.00, 0.00",560,float4
fp_c9_data[36],"0.00, 0.00, 0.00, 0.00",576,float4
fp_c9_data[37],"0.00, 0.00, 0.00, 0.00",592,float4
fp_c9_data[38],"0.00, 0.00, 0.00, 0.00",608,float4
fp_c9_data[39],"0.00, 0.00, 0.00, 0.00",624,float4
