Name,Value,Byte Offset,Type
vp_c1_data,,0,float4[4096]
vp_c1_data[0],"7.34684E-40, 1.46937E-39, 2.93874E-39, 5.87747E-39",0,float4
vp_c1_data[1],"-0.50, 0.00, 0.00, 0.00",16,float4
vp_c1_data[2],"0.00, 0.00, 0.00, 0.00",32,float4
vp_c1_data[3],"0.00, 0.00, 0.00, 0.00",48,float4
vp_c1_data[4],"0.00, 0.00, 0.00, 0.00",64,float4
vp_c1_data[5],"0.00, 0.00, 0.00, 0.00",80,float4
vp_c1_data[6],"0.00, 0.00, 0.00, 0.00",96,float4
vp_c1_data[7],"0.00, 0.00, 0.00, 0.00",112,float4
vp_c1_data[8],"0.00, 0.00, 0.00, 0.00",128,float4
vp_c1_data[9],"0.00, 0.00, 0.00, 0.00",144,float4
vp_c1_data[10],"0.00, 0.00, 0.00, 0.00",160,float4
vp_c1_data[11],"0.00, 0.00, 0.00, 0.00",176,float4
vp_c1_data[12],"0.00, 0.00, 0.00, 0.00",192,float4
vp_c1_data[13],"0.00, 0.00, 0.00, 0.00",208,float4
vp_c1_data[14],"0.00, 0.00, 0.00, 0.00",224,float4
vp_c1_data[15],"0.00, 0.00, 0.00, 0.00",240,float4
vp_c1_data[16],"5.69046E-28, 0.00, 0.00, 0.00",256,float4
vp_c1_data[17],"0.00, 0.00, 0.00, 0.00",272,float4
vp_c1_data[18],"0.00, 0.00, 0.00, 0.00",288,float4
vp_c1_data[19],"6.04243E-40, 0.00, 0.00, 0.00",304,float4
vp_c1_data[20],"0.00, 0.00, -1.64346E-32, 3.87145E-39",320,float4
vp_c1_data[21],"0.00, 0.00, 0.00, 0.00",336,float4
vp_c1_data[22],"0.00, 0.00, 0.00, 0.00",352,float4
vp_c1_data[23],"0.00, 0.00, 2.10195E-44, 0.00",368,float4
vp_c1_data[24],"-8.26529E+21, 5.55174E-39, 7.28964E-40, 2.42388E-38",384,float4
vp_c1_data[25],"-8.32137E+09, -3.80459E+19, 6.52104E-39, 1.71799E+10",400,float4
vp_c1_data[26],"7.70526E-33, 1.62147E-40, 3.67306E-39, -5.64927E+19",416,float4
vp_c1_data[27],"2.62494, -5.64927E+19, -3.67307E-39, -5.64927E+19",432,float4
vp_c1_data[28],"5.65461E-27, 8.80186E-39, 2.62494, -5.64926E+19",448,float4
vp_c1_data[29],"-3.67307E-39, -5.64926E+19, 1.23978E-38, 6.08339E+07",464,float4
vp_c1_data[30],"3.01220E-35, 1.17239E-37, 1.38675E-38, 1310724.00",480,float4
vp_c1_data[31],"3.67306E-39, -5.64926E+19, 7.99113E-39, 2.44391E+17",496,float4
vp_c1_data[32],"1.61297E+09, 2.91578E-39, 1.53376E-38, 1310724.00",512,float4
vp_c1_data[33],"6.52212E-39, 1.71799E+10, 1.68059E-38, 5.66396E+07",528,float4
vp_c1_data[34],"-1.27607E+38, 2.93587E-38, 3.67306E-39, -5.64926E+19",544,float4
vp_c1_data[35],"6.52284E-39, 2.44531E+17, 5.05239E-39, 2.65783E+17",560,float4
vp_c1_data[36],"1.21228E-27, 2.91147E-39, 5.05132E-39, 2.61279E+17",576,float4
vp_c1_data[37],"2.62494, -5.64926E+19, 1.07929E-24, 2.35293E+07",592,float4
vp_c1_data[38],"-1.38669E+29, 7.05133E-41, 2.10195E-44, -3.24663E+21",608,float4
vp_c1_data[39],"-1.86929E+29, -7.91658E+14, -2.62494, -5.64926E+19",624,float4
vp_c1_data[40],"7.70376E-33, 2.08065E-40, -2.62494, -5.64926E+19",640,float4
vp_c1_data[41],"-2.62494, -5.64926E+19, 2.62494, -5.64926E+19",656,float4
vp_c1_data[42],"1.29249E-25, 2.74072E-40, 3.67307E-39, -5.64926E+19",672,float4
vp_c1_data[43],"2.62494, -5.64926E+19, -2.62494, -5.64926E+19",688,float4
vp_c1_data[44],"3.76334E-35, 2.91578E-39, 1.97475E-38, 2.43405E+17",704,float4
vp_c1_data[45],"-3.67307E-39, -5.64926E+19, 1.97472E-38, 2.44531E+17",720,float4
vp_c1_data[46],"-4.25358E+37, 8.12176E-40, 6.52428E-39, 1.71799E+10",736,float4
vp_c1_data[47],"1.82778E-38, 2.65783E+17, 6.52356E-39, 1.71799E+10",752,float4
vp_c1_data[48],"-5.33455E+37, 2.92332E-39, 7.99401E-39, 2.61288E+17",768,float4
vp_c1_data[49],"6.42869E-40, 1.88626E-08, 6.43209E-40, 1.88626E-08",784,float4
vp_c1_data[50],"-5.48410E+37, 6.73370E-34, 1.82807E-38, 5.62991E+15",800,float4
vp_c1_data[51],"1.82756E-38, 5.62977E+15, 2.26852E-38, 5.63005E+15",816,float4
vp_c1_data[52],"-4.25455E+37, 4.74765E-34, 2.11403E-39, 5.63019E+15",832,float4
vp_c1_data[53],"1.09306E-38, 2.61279E+17, -4.92845E+29, -7.65272E+14",848,float4
vp_c1_data[54],"-3.54991E+31, 4.83751E-40, 1.09299E-38, 2.61279E+17",864,float4
vp_c1_data[55],"2.35938, -7.12499E+14, 3.67307E-39, -5.64926E+19",880,float4
vp_c1_data[56],"2.38426E-06, 6.21325E-40, 3.67307E-39, -5.64926E+19",896,float4
vp_c1_data[57],"2.62494, -5.64926E+19, 2.62494, -5.64926E+19",912,float4
vp_c1_data[58],"2.42868E-17, 1.46492E-38, -3.67307E-39, -5.64926E+19",928,float4
vp_c1_data[59],"-3.67308E-39, -5.64926E+19, 1.38700E-38, 2.44391E+17",944,float4
vp_c1_data[60],"-5.35117E+37, 2.93587E-38, 1.53391E-38, 2.44391E+17",960,float4
vp_c1_data[61],"1.68077E-38, 2.44391E+17, 9.46123E-39, 2.61279E+17",976,float4
vp_c1_data[62],"-5.45087E+37, 2.89874E-39, 2.12172E-38, 5.63005E+15",992,float4
vp_c1_data[63],"2.12176E-38, 5.62998E+15, 2.12180E-38, 5.62984E+15",1008,float4
vp_c1_data[64],"-5.40102E+37, 8.79334E-39, 1.38693E-38, 5.62950E+15",1024,float4
vp_c1_data[65],"1.09306E-38, 5.62957E+15, 7.99184E-39, 5.62977E+15",1040,float4
vp_c1_data[66],"nan, 2.89282E-39, 6.42869E-40, -2.36118E+21",1056,float4
vp_c1_data[67],"nan, -8.85732E+20, 6.48229E-40, 2.36223E+10",1072,float4
vp_c1_data[68],"0.00, 0.00, 0.00, 0.00",1088,float4
vp_c1_data[69],"0.00, 0.00, 0.00, 0.00",1104,float4
vp_c1_data[70],"0.00, 0.00, 0.00, 0.00",1120,float4
vp_c1_data[71],"0.00, 0.00, 0.00, 0.00",1136,float4
vp_c1_data[72],"0.00, 0.00, 0.00, 0.00",1152,float4
vp_c1_data[73],"0.00, 0.00, 0.00, 0.00",1168,float4
vp_c1_data[74],"0.00, 0.00, 0.00, 0.00",1184,float4
vp_c1_data[75],"0.00, 0.00, 0.00, 0.00",1200,float4
vp_c1_data[76],"0.00, 0.00, 0.00, 0.00",1216,float4
vp_c1_data[77],"0.00, 0.00, 0.00, 0.00",1232,float4
vp_c1_data[78],"0.00, 0.00, 0.00, 0.00",1248,float4
vp_c1_data[79],"0.00, 0.00, 0.00, 0.00",1264,float4
vp_c1_data[80],"5.69046E-28, 0.00, 0.00, 0.00",1280,float4
vp_c1_data[81],"0.00, 0.00, 0.00, 0.00",1296,float4
vp_c1_data[82],"0.00, 0.00, 0.00, 0.00",1312,float4
vp_c1_data[83],"5.52584E-40, 0.00, 0.00, 0.00",1328,float4
vp_c1_data[84],"0.00, 0.00, 2.52402E-29, 0.00",1344,float4
vp_c1_data[85],"0.00, 0.00, 0.00, 0.00",1360,float4
vp_c1_data[86],"0.00, 1.99951, 6.85676E-40, 0.00",1376,float4
vp_c1_data[87],"0.00, 0.00, 0.00, 0.00",1392,float4
vp_c1_data[88],"-7.38013E+20, 2.93443E-39, -3.90372E+19, 1.93292E+10",1408,float4
vp_c1_data[89],"3.08143E-31, -1.34006E+29, 1.92593E-34, -1.32817E+21",1424,float4
vp_c1_data[90],"-4.25560E+37, 2.93443E-39, 1.23978E-38, 2.36604E+07",1440,float4
vp_c1_data[91],"1.23978E-38, 5.69018E+07, 8.26540E-40, -6.14018E+29",1456,float4
vp_c1_data[92],"-5.31794E+37, 2.91578E-39, 3.54999E-36, 7.97074E+07",1472,float4
vp_c1_data[93],"1.02315E-34, -1.48861E+29, -3.91813E+19, 1.93292E+10",1488,float4
vp_c1_data[94],"-4.25456E+37, 2.92152E-39, 1.50463E-34, -1.48861E+29",1504,float4
vp_c1_data[95],"-1.14353E-19, 0.00006, 1.04771E-31, -1.48861E+29",1520,float4
vp_c1_data[96],"-1.06341E+38, 2.93443E-39, 2.04624E-34, -1.48861E+29",1536,float4
vp_c1_data[97],"6.42869E-40, -6.14018E+29, 7.34705E-40, -2.36118E+21",1552,float4
vp_c1_data[98],"-5.90398E+21, 5.54170E-39, 7.70357E-32, -1.34006E+29",1568,float4
vp_c1_data[99],"2.12155E-39, 3.96471E+17, 5.06602E-39, 4.14331E+17",1584,float4
vp_c1_data[100],"-2.65949E+37, 2.93443E-39, 5.05097E-39, 1.02746E+17",1600,float4
