Name,Value,Byte Offset,Type
vp_c1_data,,0,float4[4096]
vp_c1_data[0],"1.00, 0.001, 7.34684E-40, 1.46937E-39",0,float4
vp_c1_data[1],"2.93874E-39, 5.87747E-39, 1.17549E-38, 2.35099E-38",16,float4
vp_c1_data[2],"0.00, 0.00, 0.00, 0.00",32,float4
vp_c1_data[3],"0.00, 0.00, 0.00, 0.00",48,float4
vp_c1_data[4],"0.00, 0.00, 0.00, 0.00",64,float4
vp_c1_data[5],"0.00, 0.00, 0.00, 0.00",80,float4
vp_c1_data[6],"0.00, 0.00, 0.00, 0.00",96,float4
vp_c1_data[7],"0.00, 0.00, 0.00, 0.00",112,float4
vp_c1_data[8],"0.00, 0.00, 0.00, 0.00",128,float4
vp_c1_data[9],"0.00, 0.00, 0.00, 0.00",144,float4
vp_c1_data[10],"0.00, 0.00, 0.00, 0.00",160,float4
vp_c1_data[11],"0.00, 0.00, 0.00, 0.00",176,float4
vp_c1_data[12],"0.00, 0.00, 0.00, 0.00",192,float4
vp_c1_data[13],"0.00, 0.00, 0.00, 0.00",208,float4
vp_c1_data[14],"0.00, 0.00, 0.00, 0.00",224,float4
vp_c1_data[15],"0.00, 0.00, 0.00, 0.00",240,float4
vp_c1_data[16],"5.69046E-28, 0.00, 0.00, 0.00",256,float4
vp_c1_data[17],"0.00, 0.00, 0.00, 0.00",272,float4
vp_c1_data[18],"0.00, 0.00, 0.00, 0.00",288,float4
vp_c1_data[19],"6.04243E-40, 0.00, 0.00, 0.00",304,float4
vp_c1_data[20],"0.00, 0.00, 1.64346E-32, 3.82554E-42",320,float4
vp_c1_data[21],"0.00, 0.00, 0.00, 0.00",336,float4
vp_c1_data[22],"0.00, 0.00, 0.00, 0.00",352,float4
vp_c1_data[23],"0.00, 0.00, 2.10195E-44, 0.00",368,float4
vp_c1_data[24],"-7.38013E+20, 2.93730E-39, 1.23978E-38, 7.97072E+07",384,float4
vp_c1_data[25],"-8.32137E+09, -3.80459E+19, 7.28962E-40, 2.42388E-38",400,float4
vp_c1_data[26],"-7.38142E+20, 2.61588E-39, 6.52320E-39, 1.71799E+10",416,float4
vp_c1_data[27],"1.24893E-38, -5.64926E+19, 4.24988, -5.64926E+19",432,float4
vp_c1_data[28],"2.46809E-34, 8.80187E-39, 1.95678E-19, -1.61409E+19",448,float4
vp_c1_data[29],"9.46264E-39, 4.14331E+17, -6.42848E-40, 0.00006",464,float4
vp_c1_data[30],"-2.12728E+37, 2.89569E-39, 6.42858E-40, 5.37976E-06",480,float4
vp_c1_data[31],"6.42851E-40, 3.42340E+17, 8.60986E-41, 2.42446E-38",496,float4
